('2016-09-01', '1', '2017-03-30 11:53:11')
('2016-10-01', '1', '2017-03-30 11:53:16')
('2016-10-01', '2', '2017-03-30 11:53:45')
('2016-11-01', '1', '2017-03-30 11:53:30')
('2016-11-01', '2', '2017-03-30 11:53:47')
('2016-11-01', '3', '2017-03-30 11:54:03')
('2016-12-01', '1', '2017-03-30 11:53:30')
('2016-12-01', '2', '2017-03-30 11:53:54')
('2016-12-01', '3', '2017-03-30 11:54:10')
('2017-01-01', '1', '2017-03-30 11:53:39')
('2017-01-01', '2', '2017-03-30 11:54:06')
('2017-01-01', '3', '2017-03-30 11:54:21')
('2017-01-01', '4', '2017-03-30 11:54:28')
('2017-02-01', '1', '2017-03-30 11:53:12')
('2017-02-01', '2', '2017-03-30 11:53:35')
('2017-02-01', '3', '2017-03-30 11:54:03')
('2017-02-01', '4', '2017-03-30 11:54:20')
